23/08/2024 10:12:47 AM INFO:	 templates.py: log_template_call()-Line: 52	 id_thread: 2092-thread_name: AnyIO worker thread	 message: API called with 1
23/08/2024 10:54:14 AM DEBUG:	 main.py: _log_changes()-Line: 294	 id_thread: 34308-thread_name: MainThread	 message: 1 change detected: {(<Change.modified: 2>, 'D:\\Venv_Python\\.FastAPI\\service\\log\\23-08-24\\log.txt')}
23/08/2024 10:54:15 AM DEBUG:	 main.py: _log_changes()-Line: 294	 id_thread: 34308-thread_name: MainThread	 message: 1 change detected: {(<Change.modified: 2>, 'D:\\Venv_Python\\.FastAPI\\service\\log\\23-08-24\\log.txt')}
23/08/2024 10:54:15 AM DEBUG:	 main.py: _log_changes()-Line: 294	 id_thread: 34308-thread_name: MainThread	 message: 1 change detected: {(<Change.modified: 2>, 'D:\\Venv_Python\\.FastAPI\\service\\log\\23-08-24\\log.txt')}
23/08/2024 10:54:15 AM DEBUG:	 main.py: _log_changes()-Line: 294	 id_thread: 34308-thread_name: MainThread	 message: 1 change detected: {(<Change.modified: 2>, 'D:\\Venv_Python\\.FastAPI\\service\\log\\23-08-24\\log.txt')}
23/08/2024 10:54:16 AM DEBUG:	 main.py: _log_changes()-Line: 294	 id_thread: 34308-thread_name: MainThread	 message: 1 change detected: {(<Change.modified: 2>, 'D:\\Venv_Python\\.FastAPI\\service\\log\\23-08-24\\log.txt')}
23/08/2024 10:54:16 AM DEBUG:	 main.py: _log_changes()-Line: 294	 id_thread: 34308-thread_name: MainThread	 message: 1 change detected: {(<Change.modified: 2>, 'D:\\Venv_Python\\.FastAPI\\service\\log\\23-08-24\\log.txt')}
23/08/2024 10:54:16 AM DEBUG:	 main.py: _log_changes()-Line: 294	 id_thread: 34308-thread_name: MainThread	 message: 1 change detected: {(<Change.modified: 2>, 'D:\\Venv_Python\\.FastAPI\\service\\log\\23-08-24\\log.txt')}
23/08/2024 10:54:17 AM DEBUG:	 main.py: _log_changes()-Line: 294	 id_thread: 34308-thread_name: MainThread	 message: 1 change detected: {(<Change.modified: 2>, 'D:\\Venv_Python\\.FastAPI\\service\\log\\23-08-24\\log.txt')}
23/08/2024 10:54:17 AM DEBUG:	 main.py: _log_changes()-Line: 294	 id_thread: 34308-thread_name: MainThread	 message: 1 change detected: {(<Change.modified: 2>, 'D:\\Venv_Python\\.FastAPI\\service\\log\\23-08-24\\log.txt')}
23/08/2024 10:54:17 AM DEBUG:	 main.py: _log_changes()-Line: 294	 id_thread: 34308-thread_name: MainThread	 message: 1 change detected: {(<Change.modified: 2>, 'D:\\Venv_Python\\.FastAPI\\service\\log\\23-08-24\\log.txt')}
23/08/2024 10:54:18 AM DEBUG:	 main.py: _log_changes()-Line: 294	 id_thread: 34308-thread_name: MainThread	 message: 1 change detected: {(<Change.modified: 2>, 'D:\\Venv_Python\\.FastAPI\\service\\log\\23-08-24\\log.txt')}
23/08/2024 10:54:18 AM DEBUG:	 main.py: _log_changes()-Line: 294	 id_thread: 34308-thread_name: MainThread	 message: 1 change detected: {(<Change.modified: 2>, 'D:\\Venv_Python\\.FastAPI\\service\\log\\23-08-24\\log.txt')}
23/08/2024 10:54:19 AM DEBUG:	 main.py: _log_changes()-Line: 294	 id_thread: 34308-thread_name: MainThread	 message: 1 change detected: {(<Change.modified: 2>, 'D:\\Venv_Python\\.FastAPI\\service\\log\\23-08-24\\log.txt')}
23/08/2024 10:54:19 AM DEBUG:	 main.py: _log_changes()-Line: 294	 id_thread: 34308-thread_name: MainThread	 message: 1 change detected: {(<Change.modified: 2>, 'D:\\Venv_Python\\.FastAPI\\service\\log\\23-08-24\\log.txt')}
23/08/2024 10:54:19 AM DEBUG:	 main.py: _log_changes()-Line: 294	 id_thread: 34308-thread_name: MainThread	 message: 1 change detected: {(<Change.modified: 2>, 'D:\\Venv_Python\\.FastAPI\\service\\log\\23-08-24\\log.txt')}
23/08/2024 10:54:20 AM DEBUG:	 main.py: _log_changes()-Line: 294	 id_thread: 34308-thread_name: MainThread	 message: 1 change detected: {(<Change.modified: 2>, 'D:\\Venv_Python\\.FastAPI\\service\\log\\23-08-24\\log.txt')}
23/08/2024 10:54:20 AM DEBUG:	 main.py: _log_changes()-Line: 294	 id_thread: 34308-thread_name: MainThread	 message: 1 change detected: {(<Change.modified: 2>, 'D:\\Venv_Python\\.FastAPI\\service\\log\\23-08-24\\log.txt')}
23/08/2024 10:54:20 AM DEBUG:	 main.py: _log_changes()-Line: 294	 id_thread: 34308-thread_name: MainThread	 message: 1 change detected: {(<Change.modified: 2>, 'D:\\Venv_Python\\.FastAPI\\service\\log\\23-08-24\\log.txt')}
23/08/2024 10:54:21 AM DEBUG:	 main.py: _log_changes()-Line: 294	 id_thread: 34308-thread_name: MainThread	 message: 1 change detected: {(<Change.modified: 2>, 'D:\\Venv_Python\\.FastAPI\\service\\log\\23-08-24\\log.txt')}
23/08/2024 10:54:21 AM DEBUG:	 main.py: _log_changes()-Line: 294	 id_thread: 34308-thread_name: MainThread	 message: 1 change detected: {(<Change.modified: 2>, 'D:\\Venv_Python\\.FastAPI\\service\\log\\23-08-24\\log.txt')}
23/08/2024 10:54:21 AM DEBUG:	 main.py: _log_changes()-Line: 294	 id_thread: 34308-thread_name: MainThread	 message: 1 change detected: {(<Change.modified: 2>, 'D:\\Venv_Python\\.FastAPI\\service\\log\\23-08-24\\log.txt')}
23/08/2024 10:54:22 AM DEBUG:	 main.py: _log_changes()-Line: 294	 id_thread: 34308-thread_name: MainThread	 message: 1 change detected: {(<Change.modified: 2>, 'D:\\Venv_Python\\.FastAPI\\service\\log\\23-08-24\\log.txt')}
23/08/2024 10:54:22 AM DEBUG:	 main.py: _log_changes()-Line: 294	 id_thread: 34308-thread_name: MainThread	 message: 1 change detected: {(<Change.modified: 2>, 'D:\\Venv_Python\\.FastAPI\\service\\log\\23-08-24\\log.txt')}
23/08/2024 10:54:23 AM DEBUG:	 main.py: _log_changes()-Line: 294	 id_thread: 34308-thread_name: MainThread	 message: 1 change detected: {(<Change.modified: 2>, 'D:\\Venv_Python\\.FastAPI\\service\\log\\23-08-24\\log.txt')}
23/08/2024 10:54:23 AM DEBUG:	 main.py: _log_changes()-Line: 294	 id_thread: 34308-thread_name: MainThread	 message: 1 change detected: {(<Change.modified: 2>, 'D:\\Venv_Python\\.FastAPI\\service\\log\\23-08-24\\log.txt')}
23/08/2024 10:54:23 AM DEBUG:	 main.py: _log_changes()-Line: 294	 id_thread: 34308-thread_name: MainThread	 message: 1 change detected: {(<Change.modified: 2>, 'D:\\Venv_Python\\.FastAPI\\service\\log\\23-08-24\\log.txt')}
23/08/2024 10:54:24 AM DEBUG:	 main.py: _log_changes()-Line: 294	 id_thread: 34308-thread_name: MainThread	 message: 1 change detected: {(<Change.modified: 2>, 'D:\\Venv_Python\\.FastAPI\\service\\log\\23-08-24\\log.txt')}
23/08/2024 10:54:24 AM DEBUG:	 main.py: _log_changes()-Line: 294	 id_thread: 34308-thread_name: MainThread	 message: 1 change detected: {(<Change.modified: 2>, 'D:\\Venv_Python\\.FastAPI\\service\\log\\23-08-24\\log.txt')}
23/08/2024 10:54:25 AM DEBUG:	 main.py: _log_changes()-Line: 294	 id_thread: 34308-thread_name: MainThread	 message: 1 change detected: {(<Change.modified: 2>, 'D:\\Venv_Python\\.FastAPI\\service\\log\\23-08-24\\log.txt')}
23/08/2024 10:54:25 AM DEBUG:	 main.py: _log_changes()-Line: 294	 id_thread: 34308-thread_name: MainThread	 message: 1 change detected: {(<Change.modified: 2>, 'D:\\Venv_Python\\.FastAPI\\service\\log\\23-08-24\\log.txt')}
